,State,County,Date,PM2.5,CO,NO2,Ozone,SO2,total_confirmed_cases,Deaths,Recovered,Active
82,Connecticut,Litchfield,Apr 4,1.7000000476837158,,,0.04100000113248825,,182,5,0,0
83,Connecticut,Litchfield,Apr 5,5.099999904632568,,,0.039000000804662704,,197,6,0,0
84,Connecticut,Litchfield,Apr 6,3.200000047683716,,,0.04500000178813934,,230,8,0,0
85,Connecticut,Litchfield,Apr 7,4.0,,,0.052000001072883606,,255,9,0,0
86,Connecticut,Litchfield,Apr 8,4.400000095367432,,,0.04500000178813934,,255,9,0,0
87,Connecticut,Litchfield,Apr 9,4.199999809265137,,,0.04399999976158142,,315,13,0,0
88,Connecticut,Litchfield,Apr 10,2.0999999046325684,,,0.039000000804662704,,346,16,0,0
89,Connecticut,Litchfield,Apr 11,2.799999952316284,,,0.04600000008940697,,388,20,0,0
90,Connecticut,Litchfield,Apr 12,6.599999904632568,,,0.050999999046325684,,403,24,0,379
91,Connecticut,Litchfield,Apr 13,,,,0.05000000074505806,,446,24,0,422
92,Connecticut,Litchfield,Apr 14,,,,0.04600000008940697,,460,29,0,431
93,Connecticut,Litchfield,Apr 15,5.0,,,0.04600000008940697,,490,35,0,455
94,Connecticut,Litchfield,Apr 16,4.300000190734863,,,0.0430000014603138,,535,44,0,491
95,Connecticut,Litchfield,Apr 17,5.599999904632568,,,0.04800000041723251,,569,46,0,523
96,Connecticut,Litchfield,Apr 18,2.9000000953674316,,,0.04600000008940697,,593,48,0,545
97,Connecticut,Litchfield,Apr 19,7.599999904632568,,,0.05400000140070915,,600,48,0,552
98,Connecticut,Litchfield,Apr 20,3.700000047683716,,,0.04399999976158142,,639,58,0,581
99,Connecticut,Litchfield,Apr 21,5.099999904632568,,,0.0430000014603138,,643,59,0,584
100,Connecticut,Litchfield,Apr 22,3.700000047683716,,,0.04399999976158142,,722,63,0,659
101,Connecticut,Litchfield,Apr 23,6.599999904632568,,,0.04399999976158142,,751,66,0,685
102,Connecticut,Litchfield,Apr 24,7.400000095367432,,,0.04399999976158142,,808,69,0,739
103,Connecticut,Litchfield,Apr 25,5.5,,,0.05000000074505806,,834,73,0,761
104,Connecticut,Litchfield,Apr 26,4.400000095367432,,,0.04500000178813934,,864,74,0,790
105,Connecticut,New Haven,Mar 23,4.199999809265137,,,0.041999999433755875,,41,0,0,0
106,Connecticut,New Haven,Mar 24,3.3499999046325684,,,0.042500000447034836,,89,0,0,0
107,Connecticut,New Haven,Mar 25,6.650000095367432,,,0.04050000011920929,,127,2,0,0
108,Connecticut,New Haven,Mar 26,7.349999904632568,,,0.041999999433755875,,156,2,0,0
109,Connecticut,New Haven,Mar 27,7.349999904632568,,,0.04749999940395355,,222,6,0,0
110,Connecticut,New Haven,Mar 28,5.349999904632568,,,0.045499999076128006,,236,6,0,0
111,Connecticut,New Haven,Mar 29,1.9500000476837158,,,0.04749999940395355,,280,6,0,0
112,Connecticut,New Haven,Mar 30,3.1500000953674316,,,0.04050000011920929,,373,6,0,0
113,Connecticut,New Haven,Mar 31,3.1500000953674316,,,0.041999999433755875,,517,12,0,0
114,Connecticut,New Haven,Apr 1,5.0,,,0.04600000008940697,,611,15,0,0
115,Connecticut,New Haven,Apr 2,3.049999952316284,,,0.042500000447034836,,647,17,0,0
116,Connecticut,New Haven,Apr 3,1.0,,,0.04050000011920929,,891,18,0,0
117,Connecticut,New Haven,Apr 4,3.049999952316284,,,0.04349999874830246,,1024,29,0,0
118,Connecticut,New Haven,Apr 5,9.350000381469727,,,0.04100000113248825,,1162,36,0,0
119,Connecticut,New Haven,Apr 6,5.800000190734863,,,0.04500000178813934,,1468,41,0,0
120,Connecticut,New Haven,Apr 7,6.349999904632568,,,0.05249999836087227,,1664,60,0,0
121,Connecticut,New Haven,Apr 8,8.050000190734863,,,0.042500000447034836,,1664,60,0,0
122,Connecticut,New Haven,Apr 9,7.150000095367432,,,0.04600000008940697,,2183,78,0,0
123,Connecticut,New Haven,Apr 10,2.6500000953674316,,,0.03999999910593033,,2383,98,0,0
124,Connecticut,New Haven,Apr 11,4.5,,,0.04500000178813934,,2715,107,0,0
125,Connecticut,New Haven,Apr 12,10.649999618530273,,,0.05249999836087227,,2946,119,0,2827
126,Connecticut,New Haven,Apr 13,9.449999809265137,,,0.05050000175833702,,3358,135,0,3223
127,Connecticut,New Haven,Apr 14,4.349999904632568,,,0.04500000178813934,,3543,151,0,3392
128,Connecticut,New Haven,Apr 15,6.75,,,0.04800000041723251,,3758,195,0,3563
129,Connecticut,New Haven,Apr 16,6.099999904632568,,,0.04450000077486038,,4163,214,0,3949
