,State,County,PM2.5,Date,total_confirmed_cases,Deaths,Recovered,Active
136,Delaware,Sussex,4.0,Apr 2,105,3,0,0
137,Delaware,Sussex,3.0,Apr 3,117,3,0,0
138,Delaware,Sussex,3.7,Apr 4,125,3,0,0
139,Delaware,Sussex,5.2,Apr 5,151,3,0,0
140,Delaware,Sussex,7.2,Apr 6,159,3,0,0
141,Delaware,Sussex,13.3,Apr 7,210,3,0,0
142,Delaware,Sussex,8.1,Apr 8,279,3,0,0
143,Delaware,Sussex,7.5,Apr 9,294,3,0,0
144,Maine,Androscoggin,4.8,Mar 23,3,0,0,0
145,Maine,Androscoggin,1.1,Mar 24,3,0,0,0
146,Maine,Androscoggin,5.1,Mar 25,4,0,0,0
147,Maine,Androscoggin,2.5,Mar 26,5,0,0,0
148,Maine,Androscoggin,2.2,Mar 27,6,0,0,0
149,Maine,Androscoggin,3.6,Mar 28,7,0,0,0
150,Maine,Androscoggin,2.7,Mar 29,8,0,0,0
151,Maine,Androscoggin,0.8,Mar 30,8,0,0,0
152,Maine,Androscoggin,1.2,Mar 31,11,0,0,0
153,Maine,Androscoggin,-0.2,Apr 1,11,0,0,0
154,Maine,Androscoggin,-0.5,Apr 2,12,0,0,0
155,Maine,Androscoggin,2.6,Apr 3,19,0,0,0
156,Maine,Androscoggin,2.6,Apr 4,20,0,0,0
157,Maine,Androscoggin,1.3,Apr 5,20,0,0,0
158,Maine,Androscoggin,1.5,Apr 6,23,0,0,0
159,Maine,Androscoggin,3.9,Apr 7,23,0,0,0
160,Maine,Androscoggin,4.6,Apr 8,23,0,0,0
161,Maine,Androscoggin,4.5,Apr 9,24,0,0,0
162,Maine,Aroostook,5.2,Mar 23,0,0,0,0
163,Maine,Aroostook,5.47,Mar 24,0,0,0,0
164,Maine,Aroostook,7.7,Mar 25,0,0,0,0
165,Maine,Aroostook,5.3,Mar 26,0,0,0,0
166,Maine,Aroostook,4.67,Mar 27,0,0,0,0
167,Maine,Aroostook,6.15,Mar 28,0,0,0,0
168,Maine,Aroostook,6.2,Mar 29,0,0,0,0
169,Maine,Aroostook,2.6,Mar 30,0,0,0,0
170,Maine,Aroostook,4.33,Mar 31,0,0,0,0
171,Maine,Aroostook,1.8,Apr 1,0,0,0,0
172,Maine,Aroostook,1.67,Apr 2,0,0,0,0
173,Maine,Aroostook,2.5,Apr 3,1,0,0,0
174,Maine,Aroostook,4.73,Apr 4,1,0,0,0
175,Maine,Aroostook,3.37,Apr 5,1,0,0,0
176,Maine,Aroostook,3.5,Apr 6,1,0,0,0
177,Maine,Aroostook,4.25,Apr 7,2,0,0,0
178,Maine,Aroostook,5.75,Apr 8,2,0,0,0
179,Maine,Aroostook,4.1,Apr 9,2,0,0,0
180,Maine,Cumberland,7.1,Mar 23,66,0,0,0
181,Maine,Cumberland,6.8,Mar 24,74,0,0,0
182,Maine,Cumberland,9.1,Mar 25,87,0,0,0
183,Maine,Cumberland,7.6,Mar 26,90,0,0,0
184,Maine,Cumberland,7.9,Mar 27,92,1,0,0
185,Maine,Cumberland,7.9,Mar 28,120,1,0,0
186,Maine,Cumberland,8.0,Mar 29,142,3,0,0
187,Maine,Cumberland,5.5,Mar 30,154,3,0,0
188,Maine,Cumberland,6.8,Mar 31,169,3,0,0
189,Maine,Cumberland,4.9,Apr 1,169,3,0,0
