"County","State","Avr_PM2.5","Avr_CO","Avr_NO2","Avr_Ozone","Avr_SO2","Population","Area","Pop_density","Poverty_all","Poverty_child","Large_airport","Medium_airport","Small_airport","Non_Hub_airport","Cases","Deaths","Case_per_thousand","Death_per_M","Mortality","TAVG_avg","TMAX_avg","TMIN_avg","SNO_avg","PRCP_avg","State_Code","fips"
"New Haven","Connecticut",6.09,NA,NA,0.04477,NA,862477,1570,549.35,11.6,16.7,0,0,0,1,6715,429,7.79,497.4,6.39,NA,NA,NA,0,NA,"CT",9009
"New London","Connecticut",5.6,NA,NA,0.04437,NA,274055,1725,158.87,9.8,12.5,0,0,0,0,498,31,1.82,113.12,6.22,NA,NA,NA,0,NA,"CT",9011
"Norfolk","Massachusetts",4.29,NA,NA,0.03871,NA,670850,1036,647.54,6.5,5.9,0,0,0,0,5288,400,7.88,596.26,7.56,NA,NA,NA,0,NA,"MA",25021
"Northampton","Pennsylvania",5.63,NA,NA,0.04064,NA,297735,976,305.06,10.2,14.4,0,0,0,0,1813,49,6.09,164.58,2.7,NA,NA,NA,0,NA,"PA",42095
"Oxford","Maine",4.15,NA,NA,0.04485,NA,57202,5633,10.15,16.7,26.3,0,0,0,0,15,0,0.26,0,0,NA,NA,NA,0,NA,"ME",23017
"Penobscot","Maine",3.32,NA,NA,0.04488,NA,152692,9210,16.58,14.7,17.1,0,0,0,1,53,0,0.35,0,0,NA,NA,NA,0,NA,"ME",23019
"Philadelphia","Pennsylvania",5.68,NA,NA,0.04115,NA,1526006,370,4124.34,24.3,34,1,0,0,0,12566,472,8.23,309.3,3.76,NA,NA,NA,0,4.05385714285714,"PA",42101
"Plymouth","Massachusetts",6.83,NA,NA,0.04421,NA,494919,1712,289.09,6.2,7.3,0,0,0,0,4495,212,9.08,428.35,4.72,NA,10.3617647058824,0.645454545454545,1.45714285714286,5.92714285714286,"MA",25023
"Prince George's","Maryland",3.78,NA,NA,0.04337,NA,881138,1290,683.05,8.3,12,0,0,0,0,4987,174,5.66,197.47,3.49,NA,NA,NA,0,NA,"MD",24033
"Providence","Rhode Island",3.76,NA,NA,NA,NA,626667,1059,591.75,16.1,22.7,0,0,1,0,5266,3,8.4,4.79,0.06,NA,NA,2.80625,4.14285714285714,6.35142857142857,"RI",44007
"Rockingham","New Hampshire",5.44,NA,NA,0.04393,NA,301777,1800,167.65,5.3,6.7,0,0,0,1,619,1,2.05,3.31,0.16,NA,NA,NA,0,NA,"NH",33015
"Rutland","Vermont",5.48,NA,NA,0.04276,NA,59736,2414,24.75,10.4,13.5,0,0,0,0,44,1,0.74,16.74,2.27,NA,NA,NA,8.42857142857143,NA,"VT",50021
"Steuben","New York",4.75,NA,NA,0.03988,NA,98990,3636,27.22,12.8,18.7,0,0,0,0,214,33,2.16,333.37,15.42,NA,NA,NA,0,NA,"NY",36101
"Suffolk","Massachusetts",4.82,NA,NA,0.03956,NA,722023,150,4813.49,17.5,24.1,1,0,0,0,11543,391,15.99,541.53,3.39,NA,NA,NA,0,NA,"MA",25025
"Susquehanna","Pennsylvania",4.7,NA,NA,NA,NA,43356,2155,20.12,12.8,19.7,0,0,0,0,79,4,1.82,92.26,5.06,NA,NA,NA,5.22857142857143,NA,"PA",42115
"Sussex","Delaware",7.1,NA,NA,0.04324,NA,197145,3098,63.64,12.3,21.6,0,0,0,0,1801,43,9.14,218.11,2.39,NA,NA,NA,0,NA,"DE",10005
"Tioga","Pennsylvania",4.5,NA,NA,0.04293,NA,41981,2945,14.26,15,21.4,0,0,0,0,15,2,0.36,47.64,13.33,NA,NA,-0.625806451612903,3.62857142857143,1.88857142857143,"PA",42117
"Union","New Jersey",6.23,NA,NA,NA,NA,558067,267,2090.14,7.8,10.7,0,0,0,0,11853,571,21.24,1023.17,4.82,NA,NA,NA,0,NA,"NJ",34039
"Warren","New Jersey",5.56,NA,NA,0.03946,NA,105779,927,114.11,6.7,8.9,0,0,0,0,778,65,7.35,614.49,8.35,NA,NA,NA,0,NA,"NJ",34041
"Washington","Maryland",6.38,NA,NA,0.04177,NA,149180,1212,123.09,11.1,16.5,0,0,0,1,173,3,1.16,20.11,1.73,NA,NA,NA,0,NA,"MD",24043
"Washington","Pennsylvania",6.56,NA,NA,0.03954,NA,207820,2230,93.19,9,10.8,0,0,0,0,101,2,0.49,9.62,1.98,NA,NA,NA,0,NA,"PA",42125
"Washington","Rhode Island",2.39,NA,NA,0.037,NA,126979,852,149.04,8,9.7,0,0,0,2,292,0,2.3,0,0,NA,NA,NA,0,NA,"RI",44009
"Westmoreland","Pennsylvania",5.39,NA,NA,0.0404,NA,365169,2683,136.1,9.2,12.3,0,0,0,1,374,20,1.02,54.77,5.35,NA,NA,NA,0,NA,"PA",42129
"Worcester","Massachusetts",6.92,NA,NA,0.04376,NA,798552,3919,203.76,9,10.8,0,0,0,1,4572,183,5.73,229.16,4,NA,NA,1.39375,10.2571428571429,6.41142857142857,"MA",25027
"Wyoming","Pennsylvania",5.36,NA,NA,NA,NA,28276,1049,26.96,11.8,17.1,0,0,0,0,17,2,0.6,70.73,11.76,NA,NA,NA,0,NA,"PA",42131
"York","Pennsylvania",8.33,NA,NA,0.03711,NA,434972,2357,184.54,8.8,12.8,0,0,0,0,593,14,1.36,32.19,2.36,NA,14.3794117647059,2.45588235294118,0,3.44761904761905,"PA",42133
