"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/18/2020","AQS","230050029","1","21.2","ppb","20","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/19/2020","AQS","230050029","1","17.8","ppb","16","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/20/2020","AQS","230050029","1","41.9","ppb","39","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/21/2020","AQS","230050029","1","46.8","ppb","43","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/22/2020","AQS","230050029","1","41.8","ppb","39","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/23/2020","AQS","230050029","1","42.2","ppb","40","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/24/2020","AQS","230050029","1","39.1","ppb","37","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/25/2020","AQS","230050029","1","7.3","ppb","7","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/26/2020","AQS","230050029","1","7.9","ppb","7","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/27/2020","AQS","230050029","1","17.5","ppb","16","PDO - Portland Deering Oaks","19","79.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/28/2020","AQS","230050029","1","20.8","ppb","19","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/29/2020","AQS","230050029","1","12.9","ppb","11","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
