"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/16/2020","AQS","100032004","1","24.2","ppb","23","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/17/2020","AQS","100032004","1","18.2","ppb","17","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/18/2020","AQS","100032004","1","14.7","ppb","13","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/19/2020","AQS","100032004","1","24.4","ppb","23","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/20/2020","AQS","100032004","1","20.6","ppb","19","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/21/2020","AQS","100032004","1","45.3","ppb","42","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/22/2020","AQS","100032004","1","40.1","ppb","38","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/23/2020","AQS","100032004","1","45.8","ppb","42","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/24/2020","AQS","100032004","1","45.1","ppb","42","MLK  CORNER OF MLK BLVD AND JUSTISON ST","21","88.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/25/2020","AQS","100032004","1","22.2","ppb","21","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/26/2020","AQS","100032004","1","21.8","ppb","20","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/27/2020","AQS","100032004","1","34.5","ppb","32","MLK  CORNER OF MLK BLVD AND JUSTISON ST","23","96.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
"01/28/2020","AQS","100032004","1","20.4","ppb","19","MLK  CORNER OF MLK BLVD AND JUSTISON ST","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","Delaware","003","New Castle","39.739444","-75.558056"
